fecha|hora|magnitud|profundidad|provincia
2018/02/12|05:08:01|3.9|10.00|Manabi 
2018/02/12|02:43:20|3.6|8.59|Chimborazo 
2018/02/11|00:32:24|3.2|5.17|Galapagos 
2018/02/09|22:55:46|4.4|2.70|Manabi 
2018/02/09|15:55:08|3.7|4.38|Esmeraldas 
2018/02/09|14:16:47|3.5|32.12|Guayas 
2018/02/09|13:36:20|3.6|10.00|Sta Elena 
2018/02/09|01:03:40|3.8|41.77|Guayas 
2018/02/08|13:54:00|3.5|1.11|Galapagos 
2018/02/07|04:47:39|4.1|26.74|Guayas 
2018/02/06|20:17:01|3.9|6.72|Sta Elena 
2018/02/04|22:52:05|3.5|47.33|Azuay 
2018/02/03|10:43:47|3.6|10.00|Morona Stgo 
2018/02/03|10:39:53|4|10.00|Morona Stgo 
2018/01/31|23:47:01|3.9|187.53|Pastaza 
2018/01/31|18:13:21|5.6|4.81|Pastaza 
2018/01/31|18:19:30|3.6|9.16|Pastaza 
2018/01/31|18:21:48|3.6|5.05|Pastaza 
2018/01/31|18:18:11|3.8|5.09|Pastaza 
2018/01/30|01:58:49|3.7|8.00|Morona Stgo 
2018/01/29|11:56:28|2.6|4.34|Galapagos 
2018/01/29|11:35:33|3.5|4.40|Galapagos 
2018/01/29|09:09:31|2.7|8.00|Tungurahua 
2018/01/26|23:45:32|3.8|19.64|Manabi 
2018/01/25|11:53:30|2.3|4.22|Tungurahua 
2018/01/23|06:33:52|3.8|17.33|Guayas 
2018/01/22|09:23:47|3.7|38.34|Guayas 
2018/01/21|06:52:10|3.5|5.83|Pichincha 
2018/01/19|17:31:28|4.2|53.35|El Oro 
2018/01/18|17:28:27|4.4|2.00|Galapagos 
2018/01/18|14:18:26|3.6|7.11|Cotopaxi 
2018/01/17|03:54:35|3.1|4.80|Pichincha 
2018/01/17|02:12:36|3.6|6.75|Esmeraldas 
2018/01/14|12:49:19|3.4|4.29|Galapagos 
2018/01/14|07:49:42|2.8|10.00|Carchi 
2018/01/10|11:01:29|4.1|6.51|Galapagos 
2018/01/08|19:05:49|5.1|10.00|Galapagos 
2018/01/06|14:30:20|4.5|17.69|Manabi 
2018/01/01|21:52:08|4.4|5.40|Guayas 
2018/01/01|09:24:11|3.8|7.23|Pichincha 
